iter	Passed	Remaining
880	119024	16077
881	119133	15938
882	119286	15805
883	119470	15677
884	119612	15542
885	119746	15407
886	119894	15274
887	119986	15133
888	120104	14996
889	120214	14857
890	120377	14726
891	120486	14588
892	120583	14448
893	120680	14308
894	120837	14176
895	120985	14042
896	121108	13906
897	121237	13770
898	121318	13629
899	121449	13494
900	121599	13361
901	121757	13228
902	121909	13095
903	122028	12958
904	122170	12824
905	122290	12688
906	122407	12551
907	122527	12414
908	122640	12277
909	122735	12138
910	122875	12004
911	123037	11871
912	123162	11736
913	123289	11600
914	123473	11470
915	123608	11335
916	123694	11195
917	123836	11061
918	123928	10923
919	124082	10789
920	124206	10653
921	124337	10518
922	124474	10384
923	124595	10248
924	124728	10113
925	124869	9978
926	124973	9841
927	125117	9707
928	125213	9569
929	125318	9432
930	125437	9296
931	125608	9164
932	125767	9031
933	125901	8896
934	126020	8760
935	126151	8625
936	126295	8491
937	126422	8356
938	126545	8220
939	126679	8085
940	126805	7950
941	126933	7815
942	127046	7679
943	127156	7543
944	127324	7410
945	127472	7276
946	127588	7140
947	127729	7006
948	127879	6872
949	127977	6735
950	128092	6599
951	128232	6465
952	128357	6330
953	128463	6194
954	128703	6064
955	128915	5933
956	129037	5797
957	129179	5663
958	129338	5529
959	129504	5396
960	129696	5263
961	129821	5128
962	129994	4994
963	130129	4859
964	130258	4724
965	130423	4590
966	130542	4454
967	130668	4319
968	130787	4184
969	130891	4048
970	131011	3912
971	131126	3777
972	131237	3641
973	131332	3505
974	131458	3370
975	131605	3236
976	131754	3101
977	131860	2966
978	131997	2831
979	132111	2696
980	132250	2561
981	132384	2426
982	132501	2291
983	132673	2157
984	132823	2022
985	132928	1887
986	133084	1752
987	133208	1617
988	133368	1483
989	133510	1348
990	133667	1213
991	133814	1079
992	133929	944
993	134102	809
994	134284	674
995	134432	539
996	134586	404
997	134738	270
998	134857	134
999	134966	0
